Column;de;en
card_requirement_event_wela_spawns_ranged;Beschwöre %d Fernkampfeinheiten.;Summon %d ranged units.
card_requirement_event_wela_spawns_range;Beschwöre Fernkampfeinheiten mit einer Gesamtreichweite von %d.;Summon units with a total range of %d.
card_requirement_event_wela_triggers_guardinglight;Löse %d mal die Fähigkeit Schützendes Licht aus.;Trigger Guarding Light %d times.
card_requirement_event_wela_gain_damage_overheal;Überheile insgesamt %d Lebenspunkte.;Overheal %d HP.
card_requirement_event_wela_kills_splash;Töte %d Einheiten mit Flächenschaden.;Kill %d units using splash damage.
card_requirement_event_single_wela_gain_damage_max;Lass eine einzelne Einheit mindestens %d Schaden erhalten.;Let a single unit take at least %d damage.
card_requirement_event_unit_spawns_thistle;Beschwöre %d Disteln.;Summon %d Thistles.
card_requirement_event_wela_triggers_evade;Lass deine Einheiten %d mal einer Attacke ausweichen.;Let your units evade an attack %d times.
card_requirement_event_wela_gain_damage_giantgrowth;Lass deine Einheiten insgesamt %d Schaden erhalten während sie von Riesenwuchs betroffen sind.;Let your units take %d damage while affected by Giant Growth.
card_requirement_event_wela_gain_damage_rootbybasebuilding;Lass feindliche Einheiten %d Schaden von Basisgebäuden erhalten, während sie verwurzelt sind.;Let enemy units take %d damage from enemy base buildings while they are rooted.
card_requirement_event_wela_targets_root;Verwurzle %d feindliche Einheiten.;Root %d enemy units.
card_requirement_event_wela_kills_rootnetwork;Töte %d Einheiten mit der Fähigkeit Wurzelverbund.;Kill %d units using Root Network
card_requirement_event_wela_kills_root;Töte %d verwurzelte, feindliche Einheiten.;Kill %d rooted enemy units.
card_requirement_event_wela_deaths_saplingfarmtimeout;Verliere %d Saatlinghügel, weil ihre Zeit abgelaufen ist.;Lose %d Sapling Hills by letting them expire.
card_requirement_event_wela_targets_rootbraid;Verwurzle %d Einheiten mit der Fähigkeit Wurzelgeflecht.;Root %d units using Braided Root.
card_requirement_event_wela_gain_damage_giantgrowthbyhot;Heile insgesamt %d Leben von Einheiten die von Riesenwuchs betroffen sind mit Regenerationseffekten.;Using regeneration effects, restore %d health to units affected by Giant Growth.
card_requirement_event_wela_triggers_barkboost;Löse %d mal die Fähigkeit Saatlingsabsorption aus.;Trigger Sapling Absorption %d times.
card_requirement_event_wela_triggers_evolvethistlemaxtargets;Evolutioniere %d mal die maximale Anzahl an Saatlingen mit Evolution: Distel.;Evolve the maximum amount of Saplings with Evolve: Thistle %d times. 
card_requirement_event_wela_gain_damage_hot;Heile insgesamt %d Leben mit Regenerationseffekten.;Heal %d health with regeneration effects.
card_requirement_event_wela_targets_evolve;Evolutioniere %d mal einen Saatling.;Evolve a Sapling %d times.
card_requirement_event_unit_kills_sapling;Töte %d Einheiten mit Saatlingen.;Kill %d units using Saplings.
card_requirement_event_wela_gain_damage_saplingbybasebuilding;Lass deine Saatlinge ingesamt %d Schaden von Basisgebäuden erhalten.;Let your Saplings take %d damage from enemy base buildings.
card_requirement_event_wela_duration_gatlingdronelink;Halte insgesamt %d Sekunden den Angriff von Gatlingdrohnen aufrecht.;Let your Gatlingdrones attack for %d seconds.
card_requirement_event_unit_kills_gatlingdrone;Töte %d feindliche Einheiten mit Gatlingdrohnen.;Kill %d enemy units using Gatlingdrones.
card_requirement_event_wela_triggers_ammoempty;Verbrauche %d mal die komplette Munition einer Einheit.;Deplete the whole ammunition of a unit %d times.
card_requirement_event_unit_kills_missileturret;Töte %d feindliche Einheiten mit Raketenwerfern.;Kill %d units using the Missileturret.
card_requirement_event_wela_kills_upBuilding;Töte %d Einheiten mit Gebäuden.;Kill %d units using buildings.
card_requirement_event_wela_dealt_damage_sporefield;Regeneriere insgesamt %d Lebenspunkte mit der Fähigkeit §unitability_name_DeathRattleSporeField.;Regenerate %d health using the ability §unitability_name_DeathRattleSporeField.
card_stats_attack;Angriff;Attack
card_stats_defense;Verteidigung;Defense
card_stats_utility;Unterstützung;Utility
cardtype_building;Gebäude;Building
cardtype_drop;Beschwörung;Summoning
cardtype_spawner;Spawner;Spawner
cardtype_spell;Zauber;Spell
;;
;;
effect_blind_description;Geblendete Einheiten verfehlen 50% ihrer Angriffe. Kürzlich geblendete Einheiten sind 10 Sekunden lang immun gegen erneutes Blenden.;Blinded units miss 50% of their attacks. Recently blinded units are immune to blinds for 10 seconds.
effect_frozen_description;Gefrorene Einheiten sind handlungsunfähig für 10 Sekunden. Kürzlich gefrorene Einheiten sind 10 Sekunden lang immun gegen erneutes Einfrieren.;Frozen units are incapacitated for 10 seconds. Recently frozen units are immune to being frozen for 10 seconds.
effect_guarded_description;Geschützte Einheiten erhalten, wenn sie sterben würden, für 8 Sekunden Unbesiegbarkeit und ihre Leben werden zu 1. Wenn der Schutz auslöst können sie 60 Sekunden lang nicht erneut geschützt werden.;Guarded units become invincible for 8 seconds and their health is set to 1 if they would die. If this effect triggers they can't be guarded again for 60 seconds. 
effect_overheal_description;Dieser Effekt kann überheilen. Jegliche Heilung die über die maximalen Leben hinaus gehen, werden als Schild gespeichert, bis zu einem Maximum der doppelten Maximalleben.;This effect can overheal. All healing overshooting the maximum health is saved as a shield, which is capped at twice the maximum health.
effect_rescue_description;Gerettete Einheiten werden mit einem Lebenspunkt zum Nexus teleportiert und alle Statuseffekte von ihnen entfernt. Jede Einheit kann nur einmal gerettet werden.; Rescued units are teleported to the nexus with one health point and all status effects are removed from them. A unit can only be rescued once.
effect_root_description;Verwurzelte Einheiten können sich für 15 Sekunden nicht bewegen und erhalten 1 Schaden pro Sekunde. Kürzlich verwurzelte Einheiten sind 10 Sekunden lang immun gegen eine erneute Verwurzelung.;Rooted units can‘t move for 15 seconds and is dealt 1 damage per second. Recently rooted units are immune to roots for 10 seconds.
effect_shieldblock_description;Ein Schildblock verhindert den nächsten eintreffenden Schaden der größer 10 ist.;A shield block prevents the next incoming damage that exceeds 10.
effect_soulless_description;Seelenlose Einheiten erhalten jede Sekunde Schaden in Höhe von 2% ihrer maximalen Leben. Ihnen kann keine Seele mehre entzogen werden.;Soulless units receive every second damage by 2% of their maximum health. Their soul can‘t be extracted again.
effect_stunned_description;Betäubte Einheiten sind für 2 Sekunden handlungsunfähig.;Stunned units are incapacitated for 2 seconds.
effect_undying_description;Unverwüstliche Einheiten werden, wenn sie sterben würden, stattdessen vollständig geheilt, können danach nicht mehr geheilt werden und verlieren permanent 10% ihrer Maximalleben pro Sekunde.;Undying units will be fully healed if they would die. Afterwards they permanently lose 10% of their maximum health per second and can't be healed anymore.
;;
unitability_name_ammo;Munition;Ammunition
unitability_hint_ammo;Diese Einheit hat begrenzte Munition.;Has limited ammunition for its attacks.
unitability_name_ammolanetower;Nachfüllende Munition;Refilling Ammunition
unitability_hint_ammolanetower;Diese Einheit hat begrenzte Munition, aber füllt diese alle 3 Sekunden um einen Schuss nach. ;Has limited ammunition for it's attacks, but refills one shot every 3 seconds.
unitability_name_barkboost;Saatlingabsorption;Sapling Absorption
unitability_hint_barkboost;Nahe Saatlinge verschmelzen mit dem Orakel, um seine Leben permanent um 40 zu erhöhen. Hat eine Abklingszeit von 3 Sekunden.;Nearby Saplings sacrifice themselves in order to permanently increase the maximum health of this unit by 40. Has a cooldown of 3 seconds.
unitability_name_biggamehunter;Großwildjäger;Big Game Hunter
unitability_hint_biggamehunter;Diese Einheit greift immer den Feind mit den höchsten maximalen Leben in ihrer Reichweite an.;This unit always attacks the enemy with the highest maximum health in its range.
unitability_name_bounce;Abprall;Bounce
unitability_hint_bounce;Die normale Attacke dieser Einheit springt auf bis zu zwei weitere Einheiten über und fügt ihnen die Hälfte des ursprünglichen Schadens zu.;The normal attack of this unit bounces through the main target, hitting up to two additional targets dealing half the original damage.
unitability_name_cleave;Bereichsschaden;Splash Damage
unitability_hint_cleave;Diese Einheit trifft beim Angriff alle Gegner vor sich.;This unit attacks all units in front of it.
unitability_name_copystatus;Adaption;Adaptation
unitability_hint_copystatus;Diese Einheit übernimmt alle Statuseffekte der Einheiten welche sie angreift.;This unit gains all status effects of the unit it attacks.
unitability_name_crystalartillery;Kristallartillerie;Crystal Artillery
unitability_hint_crystalartillery;Diese Einheit hat einen zusätzlichen Angriff gegen Gebäude mit einer sehr großen Reichweite, welcher 10 Sekunden lang aufgeladen werden muss. Wenn diese Einheit in den Nahkampf verwickelt wird, verliert sie alle Aufladungen.;This unit has an additional long range attack against buildings which has to be charged for 10s. If it is caught in melee fight it loses all its charges.
unitability_name_crystalpower;Kristallmacht;Crystal Power
unitability_hint_crystalpower;Diese Einheit verleiht verbündeten Einheiten Kristallmacht. Deren Angriffe erzeugen zusätzlich einen Funken, welcher eine zusätzlich Einheit hinter der angegriffenen Einheit trifft.;This unit gives nearby allied units Crystal Power. Crystal Power adds a secondary attack that targets a unit behind the actual target unit. 
unitability_name_deathrattleblast;Todesröcheln: Erschüttern;Death Rattle: Blast
unitability_hint_deathrattleblast;Wenn diese Einheit stirbt schießt sie ein Belagerungsprojektil auf ein nahes feindliches Gebäude, welches pro gesammelter Seele 10 Schaden zufügt.;Whenever this unit dies it launches a siege projectile at a nearby enemy building dealing 10 damage per gathered soul.
unitability_name_deathrattlefrostexplosion;Todesröcheln: Frostschleim;Death Rattle: Frostexplosion
unitability_hint_deathrattlefrostexplosion;Wenn diese Einheit stirbt, werden alle nahen feindlichen Einheiten eingefroren. §effect_frozen_description;Whenever this unit dies all nearby enemy units are frozen. §effect_frozen_description
unitability_name_deathrattlesporefield;Todesröcheln: Sporenfeld;Death Rattle: Spore Field
unitability_hint_deathrattlesporefield;Wenn diese Einheit stirbt hinterlässt sie ein heilendes Feld, welches 7 Sekunden lang verbündete Einheiten um 48 pro Sekunde regeneriert.;Whenever this unit dies it leaves a small patch of spores that regenerates allied units by 48 per second and lasts for 7 seconds.
unitability_name_evasion;Ausweichen;Evasion
unitability_hint_evasion;Weicht 40% aller Angriffen aus, außer Zaubern und Bereichschaden.;Evades 40% of all attacks, except spells and splash.
unitability_name_flying;Fliegend;Flying
unitability_hint_flying;Diese Einheit fliegt und kann nicht von jedem angegriffen werden.;Can only be targeted by certain enemies.
unitability_name_focussiege;Fokus: Gebäude;Focus: Buildings
unitability_hint_focussiege;Diese Einheit greift nur Gebäude an und ignoriert alles andere.;This unit attacks buildings only. It ignores everything else.
unitability_name_frostnova;Frostnova;Frostnova
unitability_hint_frostnova;Fügt einer gegnerischen Einheit 100 Schaden zu und friert sie ein. Nahe gegnerische Einheiten bekommen 30 Schaden. Hat eine Abklingzeit von 10 Sekunden. §effect_frozen_description;Deals 100 damage to an enemy unit and freezes it. Nearby enemy units take 30 damage. Has a 10s cooldown. §effect_frozen_description
unitability_name_frostshot;Frostschleim;Frostslime
unitability_hint_frostshot;Die Angriffe dieser Einheit bevorzugen nicht eingefrorene Ziele und frieren das Ziel ein. §effect_frozen_description;Attacks of this unit priorizes non-freezed units and freeze the target. §effect_frozen_description
unitability_name_gathersouls;Seelenfänger;Soulcatcher
unitability_hint_gathersouls;Sammelt alle ungenutzten Seelen naher sterbender Einheiten ein und speichert diese.;Gathers the unused souls of units that die nearby and saves them.
unitability_name_groundonly;Flacher Schusswinkel;Flat Firing Angle
unitability_hint_groundonly;Diese Fernkampfeinheit bekämpft nur Bodeneinheiten.;This ranged unit only fights ground units.
unitability_name_growsaplings;Saatlingernte;Harvest Saplings
unitability_hint_growsaplings;Beschwört 2 Saatlinge alle 7,5 Sekunden.;Summons 2 Saplings every 7.5s.
unitability_name_guardinglight;Schützendes Licht;Guarding Light
unitability_hint_guardinglight;Nahe verbündete Einheiten werden geschützt. §effect_guarded_description;Nearby allied units are guarded. §effect_guarded_description
unitability_name_hailofstones;Steinhagel;Hail of Stones
unitability_hint_hailofstones;Wenn diese Einheit keine nahen Ziele hat, wirft sie Steine auf weit entfernte Gebäude, welche 50% reduzierten Schaden machen.;If this unit has no current targets nearby, it throws stones at buildings in a long distance, which deal 50% reduced damage.
unitability_name_healinglight;Heilung;Heal
unitability_hint_healinglight;Heilt eine verletzte, verbündete Einheit im Umkreis um 55 Leben. Hat eine Abklingzeit von 5 Sekunden. §effect_overheal_description;Heals an injured, allied unit for 55 health. Has a 5s cooldown. §effect_overheal_description
unitability_name_healarmoraura;Umarmung des Waldes;Nature's Embrace
unitability_hint_healarmoraura;Heilt nahe Verbündete Einheiten um 15 Leben pro Sekunde.;Heals nearby allied units for 15/s.
unitability_name_healinfusionchibash;Heilinfusion: Chi-Schmettern;Healinfusion: Chi-Bash
unitability_hint_healinfusionchibash;Nachdem die Einheit durch einen nicht Regenerations-Effekt geheilt wurde, betäubt sie beim nächsten Angriff den Gegner. §effect_stunned_description;After this unit becomes healed by a non-regeneration-effect it's next attack stuns the enemy. §effect_stunned_description
unitability_name_healinfusionlightgrenades;Heilinfusion: Lichtgranaten;Healinfusion: Lightgrenades
unitability_hint_healinfusionlightgrenades;Nachdem diese Einheit zum ersten Mal durch einen nicht Regenerations-Effekt geheilt wurde, blenden ihre Angriffe den Feind für 15 Sekunden. §effect_blind_description;After this unit becomes healed by a non-regeneration effect, it's attack blinds enemies for a 15 seconds. §effect_blind_description
unitability_name_healingpotion;Heiltrank;Healing Potion
unitability_hint_healingpotion;Wirft Heiltränke auf andere, verbündete Einheiten, welchen mindestens 50 Leben fehlen, um diese um 100 Leben zu heilen. Hat eine Abklingzeit von 15 Sekunden.;Heals a nearby ally by 100 (if it is missing at least 50 Health). Has a cooldown of 15s.
unitability_name_healingwave;Lichtwelle;Healing Wave
unitability_hint_healingwave;Heilt alle 10 Sekunden alle nahen verbündeten mit einer mächtigen Heilwelle um 100 Leben. §effect_overheal_description;Heals all nearby allied units by 100 every 10 seconds. §effect_overheal_description
unitability_name_heavilyarmed;Schwer Bewaffnet;Heavily Armed
unitability_hint_heavilyarmed;Aegis IX ist schwer bewaffnet. Sie hat eine Raumspaltkanone, welche nicht-legendäre Gegner augenblicklich vernichtet, zwei Langstreckenraketenwerfer mit begrenzter Munition und vier starr ausgerichtete Gatlinggeschütze zur Nahverteidigung.;Aegis IX is heavily armed. She has a rift cannon, which annihilates non-legendary enemies instantly, two long range missile launchers with limited ammunition and four directed gatling turrets for close-in defense.
unitability_name_homeland;Heimat;Homeland
unitability_hint_homeland;Immer wenn eine verbündete, nicht-legendäre Einheiten in der Nähe stirbt, wird sie stattdessen gerettet. §effect_rescue_description;Whenever a nearby allied, non-legendary unit dies, it is rescued instead. §effect_rescue_description
unitability_name_hot;Heilende Saat;Regenerating Symbiosis
unitability_hint_hot;Diese Einheit verteilt heilende Samen auf Verbündeten, welche dadurch 20 Leben pro Sekunde regenerieren. Dieser Effekt hält 10 Sekunden an.;This unit places regeneration buffs on allied units healing them by 20 per second. This effect lasts for 10 seconds.
unitability_name_icybreath;Eisatem;Icy Breath
unitability_hint_icybreath;Die Angriffe dieser Einheit gefrieren die Zieleinheit.;Attacks of this unit freeze the target unit.
unitability_name_icyfingers;Eisfinger;Icy Fingers
unitability_hint_icyfingers;Fügt gefrorenen Einheiten doppelten Schaden zu.;Deals double damage to frozen units.
unitability_name_icyprison;Schwacher Auftritt: Eisgefängnis;Weak Debut: Icy Prison
unitability_hint_icyprison;Diese Einheit wird tiefgefroren beschworen und verliert für diese Zeit alle anderen Fähigkeiten. Sie erleidet 80% reduzierten Schaden und verliert stetig Leben durch Gefrierbrand. Wenn die Leben unter 50% fallen wird das Eisgefängnis entfernt und nahe Feinde eingefroren.;This unit is spawned permafrosted losing all other abilities for the duration. It reduces all incoming damage by 80% and continuously loses health to frostbite. After dropping below 50% in health this unit breaks free and freezes all nearby enemies.
unitability_name_intensify;Intensivieren;Intensify
unitability_hint_intensify;Diese Einheit greift mit einem kontinuierlichen Strahl an, welcher bis zu einem Maximum über die Zeit immer stärker wird.;This units attack is a continuous beam that increases in damage the longer it channels.
unitability_name_lanetowerupgrade;Upgrade;Upgrade
unitability_hint_lanetowerupgrade;Dieser Wehrturm wird je nach Phase zäher und teilt mehr Schaden aus.;This tower becomes according to the stage tougher and deals more damage.
unitability_name_legendary;Legendär;Legendary
unitability_hint_legendary;Jeder Spieler kann nur eine legendäre Karte zur gleichen Zeit auf dem Schlachtfeld aktiv haben. Legendäre Einheiten sind immun gegen Statuseffekte.;Each player can only have one legendary card active at the same time. Legendary units are immune to status effects.
unitability_name_lightovercharge;Lichtüberladung;Light Overcharge
unitability_hint_lightovercharge;Das Geschoss dieser Einheit heilt bis zu 10 verletzte, verbündete Einheiten um 5 Leben auf ihrem Weg zum Ziel.;The projectile of this unit emits small bursts of light healing up to 10 units nearby it by 5.
unitability_name_limitedgadget;Begrenzt: Gerät;Limited: Gadget
unitability_hint_limitedgadget;Du kannst maximal 10 Geräte gleichzeitig auf dem Schlachtfeld aktiv haben.;You can control up to 10 gadgets on the battlefield at the same time.
unitability_name_lotharaura;Schützende Aura;Devotion Aura
unitability_hint_lotharaura;Leitet 80% des Schadens, den nahe verbündete Einheit erhalten würden, auf sich selber um.;Redirects 80% of all damage nearby allied units would receive, to Lothar.
unitability_name_mirrorstatus;Statusreflektor;Status Reflector
unitability_hint_mirrorstatus;Nahkampfeinheiten die diese Einheit angreifen erhalten alle Statuseffekte welche sie hat.;If this unit is attacked by a melee unit, it spreads all of its status effects to the attacker.
unitability_name_monarchoffrost;Monarchin des Frosts;Monarch of Frost
unitability_hint_monarchoffrost;Entzieht allen nahen gefrorenen, feindlichen Einheiten jede Sekunde 12 Leben und regeneriert sich um die Hälfte dessen.;Continuously drains 12 health per second of nearby frozen enemies, regenerating itself by half the amount.
unitability_name_multishot2;Zweifachschuss;Doubleshot
unitability_hint_multishot2;Greift 2 Ziele gleichzeitig an.;Can attack 2 enemies at once.
unitability_name_multishot3;Dreifachschuss;Tripleshot
unitability_hint_multishot3;Greift 3 Ziele gleichzeitig an.;Can attack 3 enemies at once.
unitability_name_nexusupgrade;Upgrade;Upgrade
unitability_hint_nexusupgrade;Ab der nächsten Phase wird der Nexus zäher und teilt mehr Schaden aus.;At the next stage the Nexus become tougher and deals more damage.
unitability_name_nothoming;Artillerie;Artillery
unitability_hint_nothoming;Die Geschosse dieser Fernkampfeinheit sind nicht zielsuchend und schlagen auf dem Boden ein. Dabei fügen sie Schaden an Zielen am Zielpunkt zu.;The projectile of this ranged unit is not homing and hits the ground, damaging all units at the impact point.
unitability_name_pacifist;Pazifist;Pacifist
unitability_hint_pacifist;Diese Einheit hat keinen Angriff.;This unit does not attack.
unitability_name_powerfuldebutstun;Epischer Auftritt: Betäuben;Powerful Debut: Stun
unitability_hint_powerfuldebutstun;Nach der Beschwörung werden alle nahen feindlichen Einheiten für 2 Sekunden betäubt.;After spawn all enemies nearby are stunned for 2 seconds.
unitability_name_powerfuldebutsoulvortex;Epischer Auftritt: Seelenstrudel;Powerful Debut: Soul Vortex
unitability_hint_powerfuldebutsoulvortex;Diese Einheit entzieht, bei ihrer Beschwörung, allen nahen Einheiten ihre Seele und verdoppelt diese.;When this unit enters the Battlefield, it extracts the souls of all nearby units and doubles them.
unitability_name_precisehit;Zuverlässiger Treffer;Reliable Hit
unitability_hint_precisehit;Diese Einheit fügt betäubten Einheiten 50% mehr Schaden zu.;This unit deals 50% more damage to stunned units.
unitability_name_primarytarget;Primärziel;Primary Target
unitability_hint_primarytarget;Wenn der Nexus zerstört wird, verliert das zugehörige Team.;If the Nexus health are reduced to 0 the owning team loses the match.
unitability_name_root;Verwurzelung;Root
unitability_hint_root;Angegriffene Einheiten werden verwurzelt. §effect_root_description;Attacked enemies are rooted for 15 seconds. §effect_root_description
unitability_name_rootbraid;Wurzelgeflecht;Braided Root
unitability_hint_rootbraid;Immer wenn diese Einheit geheilt wird erhält sie eine Wurzelmarke. Zwei Wurzelmarken werden verbraucht, um eine eine feindliche Einheit in der Nähe zu verwurzeln. Kürzlich verwurzelte Einheiten sind 10 Sekunden lang immun gegen eine erneute Verwurzelung.;Whenever this unit gets healed it gains a root-token. A nearby enemy unit is rooted when receiving the second token. Recently rooted units are immune to roots for 10 seconds.
unitability_name_rootnetwork;Wurzelverbund;Root Network
unitability_hint_rootnetwork;Alle verwurzelten, feindlichen Einheiten nahe der angegriffenen Einheit erhalten auch 10 Schaden pro Angriff.;All rooted enemy units near the attacked unit take 10 damage every tick.
unitability_name_siege;Belagerung;Siege
unitability_hint_siege;Diese Einheit ist besonders effektiv gegen Gebäude und teilt vierfachen Schaden gegen Verstärkte Rüstung aus.;This unit is most efficient against buildings, dealing quadruple damage against fortified armor.
unitability_name_shatterice;Eis zerschmettern;Shatter Ice
unitability_hint_shatterice;Die Angriffe dieser Einheit fügen gefrorenen Zielen dreifachen Schaden zu.;Attacks of this unit deal triple damage against frozen enemies.
unitability_name_shieldblock;Schildblock;Shield Block
unitability_hint_shieldblock;Diese Einheit hat einen Schildblock, welcher alle 5 Sekunden erneuert wird und mit anderen Schildblocks gestapelt werden kann. §effect_shieldblock_description;This unit has a shield block, which is renewed all 5 seconds and can be stacked with other shield blocks. §effect_shieldblock_description
unitability_name_slow;Gemächlich;Slow
unitability_hint_slow;Diese Einheit bewegt sich nur mit der halben Bewegungsgeschwindigkeit;This unit‘s movement-speed is halved.
unitability_name_splinter;Splittern;Splinter
unitability_hint_splinter;Wenn diese Einheit durch einen Angriff mehr als 35 Leben verliert splittert ein Steinbrocken ab und formt einen Granitkundschafter. Hat eine Abklingzeit von 3 Sekunden.;If this unit is dealt at least 35 damage with a single attack a Granite Scout is spawned. Has a cooldown of 3s.
unitability_name_souldevour;Seelensammler: Verzehr;Soulgatherer: Devour
unitability_hint_souldevour;Wenn diese Einheit unter 50% ihrer Leben ist, konsumiert sie getragene Seelen um sich um 50 pro Seele zu heilen.;When this unit drops below 50% health it consumes all carried souls to heal itself by 50 per soul.
unitability_name_soulcarrier1;Seelenspeicher 1;Soul Carrier 1
unitability_hint_soulcarrier1;Diese Einheit kann bis zu einer Seele speichern.;This unit can carry up to one soul.
unitability_name_soulcarrier2;Seelenspeicher 2;Soul Carrier 2
unitability_hint_soulcarrier2;Diese Einheit kann bis zu zwei Seelen speichern.;This unit can carry up to two souls.
unitability_name_soulcarrier10;Seelenspeicher 10;Soul Carrier 10
unitability_hint_soulcarrier10;Diese Einheit kann bis zu 10 Seelen speichern.;This unit can carry up to 10 souls.
unitability_name_soulcarrierinfinite;Seelenspeicher ∞;Soul Carrier ∞
unitability_hint_soulcarrierinfinite;Diese Einheit kann beliebig viele Seelen speichern.;This unit can carry any count of souls.
unitability_name_souldonor;Seelenspender;Soul Contributor
unitability_hint_souldonor;Gespeicherte Seelen werden einzeln alle 2 Sekunden auf nahe verbündete Seelenspeicher übertragen.;Saved souls are passed to nearby allied soul carriers one by one every 2 seconds.
unitability_name_soulextract;Seele entziehen;Revoke Soul
unitability_hint_soulextract;Angegriffenen Einheiten wird ihre Seele entrissen, welche auf nahe verbündete Seelenspeicher überspringt und werden seelenlos. §effect_soulless_description;The souls of attacked units are transferred to nearby allied soul carriers and they become soulless. §effect_soulless_description
unitability_name_soulgatherermultishot;Seelensammler: Zwillingspfeil;Soulgatherer: Multishot
unitability_hint_soulgatherermultishot;Solange diese Einheit Seelen trägt kann sie ein zusätzliches Ziel gleichzeitig angreifen.;As long as this unit carries souls, its attacks target a second enemy unit nearby.
unitability_name_soulgatherersoularmor;Seelensammler: Seelenrüstung;Soulgatherer: Soul Armor
unitability_hint_soulgatherersoularmor;Solange diese Einheit Seelen trägt werden diese konsumiert um eintreffende Angriffe zu blocken;When this unit is attacked it consumes carried souls in order to block the attack.
unitability_name_soulgatherersummonfrostgoyle;Seelensammler: Frostspeierbeschwörung;Soulgatherer: Summon Frostgoyle
unitability_hint_soulgatherersummonfrostgoyle;Wenn diese Einheit mindestens 5 Seelen gesammelt hat, werden diese verbraucht und ein Frostspeier beschworen.;This unit consumes 5 gathered souls to summon a Frostgoyle.
unitability_name_soulgathererundying;Seelensammler: Unverwüstlichkeit;Soulgatherer: Undying
unitability_hint_soulgathererundying;Solange diese Einheit eine Seele trägt hat sie Unverwüstlichkeit. §effect_undying_description;As long as this unit carries a soul it becomes undying. §effect_undying_description
unitability_name_soulseeker;Seelensucher;Soul Seeker
unitability_hint_soulseeker;Angegriffenen Einheiten wird ihre Seele entrissen, welche auf nahe verbündete Seelenspeicher überspringt und werden seelenlos. Dieser Effekt ist nur aktiv, wenn diese Einheit keine Seele trägt. §effect_soulless_description;The soul of attacked units is transferred to nearby allied soul carriers and they become soulless. This effect is only active as long as this unit carries no soul. §effect_soulless_description
unitability_name_soulundertow;Seelensog;Soul Undertow
unitability_hint_soulundertow;Diese Einheit entzieht alle 3 Sekunden bis zu zwei nahen Einheiten ihre Seele, macht sie seelenlos und speichert die Seelen. Priorisiert feindliche Ziele. §effect_soulless_description;This unit extracts souls of up to two nearby units every 3s, makes them soulless and saves the souls. Priortizes enemy units. §effect_soulless_description
unitability_name_soulvortex;Seelenstrudel;Soul Vortex
unitability_hint_soulvortex;Entreißt alle 5 Sekunden in einem riesigen Umkreis feindlichen Einheiten die Seele, macht sie seelenlos und verdoppelt und speichert die Seele. §effect_soulless_description;Rips out the soul of an enemy unit in a giant radius every 5 seconds, make it soulless and doubles and stores the soul. §effect_soulless_description
unitability_name_splash;Bereichsschaden;Splash Damage
unitability_hint_splash;Der Angriff betrifft auch Gegner im Umkreis um das Ziel.;Enemies near the target take damage as well.
unitability_name_starfall;Orbitalabwurf;Orbital Drop
unitability_hint_starfall;Diese Einheit stürzt aus dem Orbit auf das Schlachtfeld und vernichtet augenblicklich alle nicht-legendären Einheiten und Gebäude in der Landezone.;This unit falls from orbit on the battlefield and annihilates all non-legendary units and buildings in the landing zone instantly.
unitability_name_steadyaim;Zielsicher;Steady Aim
unitability_hint_steadyaim;Solange sich diese Einheit nicht bewegt erhöht sich ihre Reichweite über einen Zeitraum von 10 Sekunden um bis zu 8. Dieser Bonus verfällt sobald sich die Einheit bewegt.;While not moving this unit increases its range gradually by up to 8 over a time span of 10 seconds. This bonus is lost upon moving.
unitability_name_stride;Übersteigen;Stride
unitability_hint_stride;Diese Einheit ignoriert andere Einheiten beim laufen und steigt über sie hinweg;This unit ignores unit collision.
unitability_name_summonsaplings;Saatlinge beschwören;Summon Saplings
unitability_hint_summonsaplings;Beschwört 2 Saatlinge alle 13 Sekunden.;Summons 2 Saplings every 13s.
unitability_name_surefire;Zielsicher;Surefire
unitability_hint_surefire;Diese Einheit kann nicht geblendet werden.;This unit can‘t be blinded.
unitability_name_timedlife;Beschränkte Lebensdauer;Limited lifetime
unitability_hint_timedlife;Diese Einheit stirbt nach Ablauf von 17 Sekunden.;This unit dies after 17s seconds.
unitability_name_timedlifebuilding;Beschränkte Lebensdauer;Limited lifetime
unitability_hint_timedlifebuilding;Dieses Gebäude zerfällt nach Ablauf von 90 Sekunden.;This building vanishes after 90s.
unitability_name_tremor;Erschütterung;Tremor
unitability_hint_tremor;Die Attacken dieser Einheit lassen den Boden erzittern und fügen allen Einheiten in einem Kegel hinter ihrem Ziel Schaden zu.;The attacks of this unit shake the earth and deal damage to all units in a cone behind their target.
unitability_name_walloflight;Wall des Lichts;Wall of Light
unitability_hint_walloflight;Immer wenn diese Einheit geheilt wird, erhält die verbündete Einheit mit den geringsten, maximalen Leben, welche noch keinen Schildblock hat, im Umkreis einen Schildblock. §effect_shieldblock_description;Whenever this unit is healed, the allied unit with the least maximum health, which does not have a shield block, gain a shield block. §effect_shieldblock_description
unitability_name_warminglight;Wärmendes Licht;Warming Light
unitability_hint_warminglight;Die Bereichsangriffe dieser Einheit heilen verbündete Einheiten um 15 Leben.;The splash attack of this unit heal allied units by 15 health.
unitability_name_wipe;Fortwischen;Wipe
